muni,county,year,elecutil,reselec,commelec,induselec,streetelec,totelec,gasutil
Belmar borough,Monmouth,2019,JCPL,25275979.00,17767183.00,503846.00,209906.00,43756914.00,NJNG
Belmar borough,Monmouth,2020,JCPL,26116057.00,16119530.00,474369.00,210051.00,42920007.00,NJNG
Belmar borough,Monmouth,2021,JCPL,27012138.00,16863714.00,554254.00,209939.00,44640045.00,NJNG
Belvidere town,Warren,2015,JCPL,10708059.00,5764846.00,10118103.00,91656.00,26682664.00,ETG
Belvidere town,Warren,2016,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Belvidere town,Warren,2017,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Belvidere town,Warren,2018,JCPL,10263400.00,5563629.00,58984622.00,91656.00,74903307.00,ETG
Belvidere town,Warren,2019,JCPL,10042320.00,5544672.00,56983020.00,91656.00,72661668.00,ETG
Belvidere town,Warren,2020,JCPL,10442555.00,5150189.00,47823835.00,91506.00,63508085.00,ETG
Belvidere town,Warren,2021,JCPL,10739574.00,5122071.00,60772218.00,90900.00,76724763.00,ETG
Bergenfield borough,Bergen,2015,PSEG,69399008.00,31277675.00,2521137.00,1041762.00,104239582.00,PSEG
Bergenfield borough,Bergen,2016,PSEG,68297992.00,32540128.00,1005115.00,1115204.00,102958439.00,PSEG
Bergenfield borough,Bergen,2017,PSEG,65379208.00,31144845.00,1132976.00,948149.00,98605178.00,PSEG
Bergenfield borough,Bergen,2018,PSEG,69316537.00,28399637.00,1027485.00,1065503.00,99809162.00,PSEG
Bergenfield borough,Bergen,2019,PSEG,65982982.00,27828896.00,546930.00,1100537.00,95459345.00,PSEG
Bergenfield borough,Bergen,2020,PSEG,69714154.00,26155609.00,654325.00,1098076.00,97622164.00,PSEG
Bergenfield borough,Bergen,2021,PSEG,69607368.00,26965984.00,658059.00,1146635.00,98378046.00,PSEG
Berkeley heights township,Union,2015,PSEG/JCPL,45279710.00,139574654.00,12609566.00,367637.00,197831567.00,PSEG
Berkeley heights township,Union,2016,PSEG/JCPL,NDA,17591752.00,NDA,708.00,17592460.00,PSEG
Berkeley heights township,Union,2017,PSEG/JCPL,NDA,15619838.00,NDA,628.00,15620466.00,PSEG
Berkeley heights township,Union,2018,PSEG/JCPL,44184184.00,129060853.00,9120297.00,368719.00,182734053.00,PSEG
Berkeley heights township,Union,2019,PSEG/JCPL,43152813.00,112745621.00,9169821.00,368564.00,165436819.00,PSEG
Berkeley heights township,Union,2020,PSEG/JCPL,44540918.00,90142679.00,7154227.00,367785.00,142205609.00,PSEG
Berkeley heights township,Union,2021,PSEG/JCPL,45712802.00,99776266.00,6188287.00,368184.00,152045539.00,PSEG
Berkeley township,Ocean,2015,JCPL,166154977.00,50389329.00,17803718.00,1694412.00,236042436.00,NJNG
Berkeley township,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Berkeley township,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Berkeley township,Ocean,2018,JCPL,164739367.00,48885590.00,16793175.00,1677221.00,232095353.00,NJNG
Berkeley township,Ocean,2019,JCPL,160428204.00,47248421.00,16272601.00,1682504.00,225631730.00,NJNG
Berkeley township,Ocean,2020,JCPL,163915258.00,56142119.00,15786684.00,1676507.00,237520568.00,NJNG
Berkeley township,Ocean,2021,JCPL,167858591.00,57568674.00,17445431.00,1694949.00,244567645.00,NJNG
Berlin borough,Camden,2015,ACE,42414229.00,45470835.00,10189590.00,363736.00,98438390.00,SJG
Berlin borough,Camden,2016,ACE,40922364.00,43623237.00,10070344.00,355943.00,94971888.00,SJG
